,state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn,one day minutes,percentage of minutes,one day charge,percentage of charge,one day calls,percentage of calls
0,KS,128,415,382-4657,no,yes,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,False,717.2,0.036356533908373526,75.56,0.038133491748484696,303,0.029792865837710493
1,OH,107,415,371-7191,no,yes,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,False,625.2,0.03169284021125924,59.24000000000001,0.029897142021972384,332,0.032644328244620074
2,NJ,137,415,358-1921,no,no,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,False,539.4000000000001,0.02734343891547223,62.290000000000006,0.031436410812772785,333,0.03274265453451351
3,OH,84,408,375-9999,yes,no,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,False,564.8,0.028631023914458122,66.8,0.03371250990998911,255,0.025073203922825665
4,OK,75,415,330-6626,yes,no,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,False,512.0,0.025954469270896882,52.089999999999996,0.026288692233702587,359,0.03529913807174279
5,AL,118,510,391-8027,yes,no,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,False,654.1999999999999,0.03316291757230613,67.61,0.034121299326562333,323,0.03175939163557917
6,MA,121,510,355-9993,no,yes,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,False,786.8000000000001,0.039884719574886075,78.31,0.03952135705166538,321,0.03156273905579231
7,MO,147,415,329-9001,yes,no,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,False,479.00000000000006,0.02428162261867111,46.900000000000006,0.02366941189788158,275,0.027039729720694343
8,LA,117,408,335-4719,no,no,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,False,760.6000000000001,0.0385565807176644,73.32,0.03700301237425751,271,0.026646424561120607
9,WV,141,415,330-8173,yes,yes,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,False,818.2,0.041476458510640295,80.53999999999999,0.0406467896429719,297,0.02920290809834989
10,IN,65,415,329-6603,no,no,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,True,579.1000000000001,0.029355924130422633,54.2,0.027353563429961227,337,0.033135959694087246
11,RI,74,415,344-9403,no,no,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,False,556.2,0.02819506993842353,57.08,0.028807036911110456,374,0.036774032420144306
12,IA,168,408,363-1107,no,no,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,False,386.0,0.0195672365987621,40.190000000000005,0.020283020558120698,297,0.02920290809834989
13,MT,95,510,394-8006,no,no,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,False,608.8,0.030861486117425823,59.64,0.030099013338798664,283,0.027826340039841815
14,IA,62,415,366-9238,no,no,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,False,644.0,0.032645855879799984,59.309999999999995,0.02993246950241698,251,0.02467989876325193
15,NY,161,415,351-7269,no,no,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,True,816.7,0.04140042002644821,92.29,0.04657675957474395,301,0.029596213257923627
16,ID,85,408,350-8884,no,yes,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,False,580.3999999999999,0.02942182415005576,65.02,0.032814182550112155,308,0.03028449728717766
17,VT,93,510,386-2923,no,no,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,False,546.6,0.027708423639594214,58.989999999999995,0.02977097244895595,349,0.03431587517280846
18,VA,76,510,356-2992,no,yes,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,False,578.2,0.02931030103990738,60.50000000000001,0.030533036669975172,244,0.023991614733997888
19,TX,73,415,373-2782,no,no,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,False,589.7,0.029893262752046665,63.9,0.03224894286299857,254,0.024974877632932227
20,FL,147,415,396-5800,no,no,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,False,614.1999999999999,0.03113522466051731,59.0,0.02977601923187661,347,0.03411922259302159
21,CO,77,408,393-7984,no,no,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,True,447.59999999999997,0.022689883682916884,36.019999999999996,0.018178512080206703,280,0.02753136117016151
22,AZ,130,415,358-1958,no,no,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,False,447.20000000000005,0.022669606753798997,48.06,0.024254838716677798,308,0.03028449728717766
23,SC,111,415,350-2565,no,no,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,False,445.0,0.02255808364365061,41.05,0.0207170438892972,316,0.031071107606325133
24,VA,132,510,343-4696,no,no,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,False,573.5999999999999,0.029077116355051662,48.08,0.02426493228251911,275,0.027039729720694343
25,NE,174,415,331-3698,no,no,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,False,667.6,0.03384219469775539,60.15,0.03035639926775217,308,0.03028449728717766
26,WY,57,408,357-3817,no,yes,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,False,596.3,0.03022783208249182,63.24,0.0319158551902352,345,0.03392257001323472
27,MT,54,408,418-6412,no,no,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,False,406.59999999999997,0.02061149844833334,44.61,0.022513698609051114,245,0.024089941023891323
28,MO,20,415,353-2630,no,no,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,False,636.0,0.03224031729744222,64.12,0.032359972087253025,301,0.029596213257923627
29,HI,49,510,410-7789,no,no,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,False,524.1999999999999,0.02657291560899247,49.6,0.025032043286458982,317,0.031169433896218568
30,IL,142,415,416-8428,no,no,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,False,486.2,0.024646607342793093,41.14,0.020762464935583116,312,0.030677802446751397
31,NH,75,510,370-3359,no,no,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,False,684.0999999999999,0.03467861802386827,69.42999999999999,0.035039813818121913,315,0.0309727813164317
32,LA,172,408,383-1121,no,no,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,False,549.1,0.027835154446581016,55.29,0.027903662768312843,324,0.0318577179254726
33,AZ,12,408,360-1596,no,no,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,True,794.0,0.04024970429900805,79.67999999999999,0.04021276631179539,330,0.032447675664833205
34,OK,57,408,395-2854,no,yes,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,False,593.5999999999999,0.03009096281094607,58.49,0.029518633302923106,289,0.028416297779202418
35,GA,72,415,362-1407,no,yes,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,False,604.8000000000001,0.03065871682624695,66.72,0.03367213564662386,259,0.025466509082399398
36,AK,36,408,341-9764,no,yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,False,452.6,0.02294334529689049,48.42,0.024436522901821453,323,0.03175939163557917
37,MA,78,415,353-3305,no,no,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,False,592.3,0.030025062791312934,54.2,0.027353563429961227,293,0.028809602938776154
38,AK,136,415,402-1381,yes,yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,False,503.7,0.025533722991700706,58.03,0.029286481288572877,318,0.031267760186112
39,NJ,149,408,332-9891,no,no,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,False,611.6,0.031003424621251045,58.44,0.029493399388319817,303,0.029792865837710493
40,GA,98,408,372-9976,no,no,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,False,490.3,0.02485444586625145,46.63999999999999,0.02353819554194449,324,0.0318577179254726
41,MD,135,408,383-6029,yes,yes,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,True,513.8,0.026045715451927375,56.199999999999996,0.028362920014092633,285,0.028022992619628682
42,AR,34,510,353-7289,no,no,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,False,728.5,0.036929357155953864,61.92999999999999,0.031254726627629126,262,0.0257614879520797
43,ID,160,415,390-7274,no,no,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,False,438.8,0.022243791242323344,39.15,0.01975815513437236,283,0.027826340039841815
44,WI,64,510,352-1237,no,no,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,False,648.6,0.0328790405646557,58.260000000000005,0.02940255729574799,274,0.026941403430800905
45,OR,59,408,353-3061,no,yes,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,False,505.5,0.0256249691727312,48.3,0.024375961506773566,310,0.030481149866964527
46,MI,65,415,363-5450,no,no,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,False,521.8,0.02645125403428514,59.36000000000001,0.029957703417020268,365,0.035889095811103396
47,DE,142,408,364-1995,no,no,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,False,571.1999999999999,0.028955454780344333,56.129999999999995,0.028327592533648034,339,0.033332612273874115
48,ID,119,415,398-1294,no,no,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,True,542.3999999999999,0.02749551588385638,55.53,0.02802478555840861,325,0.03195604421536604
49,WY,97,415,405-7146,no,yes,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,False,432.0,0.021899083447319244,47.25,0.023846049300104574,275,0.027039729720694343
50,IA,52,408,413-4957,no,no,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,False,706.3,0.03580398758991107,68.32,0.034479620913928984,296,0.029104581808456452
51,IN,60,408,420-5645,no,no,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,False,687.5,0.03485097192137033,68.49000000000001,0.03456541622358016,304,0.029891192127603924
52,VA,10,408,349-4396,no,no,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,False,670.4999999999999,0.033989202433860076,63.620000000000005,0.032107632941220175,241,0.023696635864317587
53,UT,96,415,404-3211,no,no,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,False,665.5,0.03373574081988648,62.76,0.03167360961004366,257,0.02526985650261253
54,WY,87,415,353-3759,no,no,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,True,584.3000000000001,0.029619524208955177,56.14,0.028332639316568695,329,0.03234934937493977
55,IN,81,408,363-5947,no,no,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,False,705.2,0.03574822603483688,65.94,0.033278486578812605,253,0.024876551343038796
